"YearStart","LocationAbbr","Class","Data_Value","Data_Value_Alt","Low_Confidence_Limit","High_Confidence_Limit","Sample_Size","Age(years)","Education","Gender","Income","Race/Ethnicity","GeoLocation","ClassID","TopicID","QuestionID","StratificationCategory1","Stratification1","StratificationCategoryId1","StratificationID1","Number_people"
2011,"AK","Physical Activity",24.6,24.6,19.4,30.7,373,NA,NA,NA,"$15,000 - $24,999",NA,"(64.845079957001, -147.722059036)","PA","PA1","Q047","Income","$15,000 - $24,999","INC","INC1525",92
2011,"AK","Physical Activity",27.2,27.2,21.8,33.4,454,NA,NA,NA,"Data not reported",NA,"(64.845079957001, -147.722059036)","PA","PA1","Q047","Income","Data not reported","INC","INCNR",124
2011,"AK","Physical Activity",19.2,19.2,15.1,24.1,530,NA,NA,NA,"$50,000 - $74,999",NA,"(64.845079957001, -147.722059036)","PA","PA1","Q047","Income","$50,000 - $74,999","INC","INC5075",102
2011,"AK","Physical Activity",23.5,23.5,14.3,36,78,NA,NA,NA,NA,"Hispanic","(64.845079957001, -147.722059036)","PA","PA1","Q047","Race/Ethnicity","Hispanic","RACE","RACEHIS",19
2011,"AK","Physical Activity",18.9,18.9,17,20.9,2444,NA,NA,NA,NA,"Non-Hispanic White","(64.845079957001, -147.722059036)","PA","PA1","Q047","Race/Ethnicity","Non-Hispanic White","RACE","RACEWHT",462
2011,"AK","Physical Activity",35.6,35.6,23.3,50.2,63,NA,NA,NA,NA,"Other","(64.845079957001, -147.722059036)","PA","PA1","Q047","Race/Ethnicity","Other","RACE","RACEOTH",23
2011,"AK","Physical Activity",30.2,30.2,20.6,41.9,134,NA,NA,NA,NA,"2 or more races","(64.845079957001, -147.722059036)","PA","PA1","Q047","Race/Ethnicity","2 or more races","RACE","RACE2PLUS",41
2011,"AK","Physical Activity",31.7,31.7,26.6,37.3,472,NA,NA,NA,NA,"American Indian/Alaska Native","(64.845079957001, -147.722059036)","PA","PA1","Q047","Race/Ethnicity","American Indian/Alaska Native","RACE","RACENAA",150
2011,"AL","Physical Activity",27.2,27.2,23.1,31.7,628,"25 - 34",NA,NA,NA,NA,"(32.840571122, -86.631860762)","PA","PA1","Q047","Age (years)","25 - 34","AGEYR","AGEYR2534",171
2011,"AL","Physical Activity",37.9,37.9,34.8,41,1729,"55 - 64",NA,NA,NA,NA,"(32.840571122, -86.631860762)","PA","PA1","Q047","Age (years)","55 - 64","AGEYR","AGEYR5564",656
2011,"AL","Physical Activity",35.3,35.3,32,38.8,1316,"45 - 54",NA,NA,NA,NA,"(32.840571122, -86.631860762)","PA","PA1","Q047","Age (years)","45 - 54","AGEYR","AGEYR4554",465
2011,"AL","Physical Activity",39.8,39.8,37.4,42.3,2541,"65 or older",NA,NA,NA,NA,"(32.840571122, -86.631860762)","PA","PA1","Q047","Age (years)","65 or older","AGEYR","AGEYR65PLUS",1012
2011,"AL","Physical Activity",29.8,29.8,26.1,33.8,887,"35 - 44",NA,NA,NA,NA,"(32.840571122, -86.631860762)","PA","PA1","Q047","Age (years)","35 - 44","AGEYR","AGEYR3544",265
2011,"AL","Physical Activity",22.5,22.5,17.5,28.4,369,"18 - 24",NA,NA,NA,NA,"(32.840571122, -86.631860762)","PA","PA1","Q047","Age (years)","18 - 24","AGEYR","AGEYR1824",84
2011,"AL","Physical Activity",31.6,31.6,28.9,34.5,1967,NA,"Some college or technical school",NA,NA,NA,"(32.840571122, -86.631860762)","PA","PA1","Q047","Education","Some college or technical school","EDU","EDUCOTEC",622
2011,"AL","Physical Activity",33.5,33.5,30.8,36.2,2440,NA,"High school graduate",NA,NA,NA,"(32.840571122, -86.631860762)","PA","PA1","Q047","Education","High school graduate","EDU","EDUHSGRAD",818
2011,"AL","Physical Activity",46.3,46.3,42,50.6,1174,NA,"Less than high school",NA,NA,NA,"(32.840571122, -86.631860762)","PA","PA1","Q047","Education","Less than high school","EDU","EDUHS",544
2011,"AL","Physical Activity",19.6,19.6,17.3,22,1874,NA,"College graduate",NA,NA,NA,"(32.840571122, -86.631860762)","PA","PA1","Q047","Education","College graduate","EDU","EDUCOGRAD",368
2011,"AL","Physical Activity",35.3,35.3,33.4,37.2,4939,NA,NA,"Female",NA,NA,"(32.840571122, -86.631860762)","PA","PA1","Q047","Gender","Female","GEN","FEMALE",1744
2011,"AL","Physical Activity",29.6,29.6,27.2,32.1,2531,NA,NA,"Male",NA,NA,"(32.840571122, -86.631860762)","PA","PA1","Q047","Gender","Male","GEN","MALE",750
2011,"AL","Physical Activity",38.5,38.5,34.4,42.9,1113,NA,NA,NA,"Less than $15,000",NA,"(32.840571122, -86.631860762)","PA","PA1","Q047","Income","Less than $15,000","INC","INCLESS15",429
2011,"AL","Physical Activity",35.2,35.2,30.6,40,760,NA,NA,NA,"$25,000 - $34,999",NA,"(32.840571122, -86.631860762)","PA","PA1","Q047","Income","$25,000 - $34,999","INC","INC2535",268
2011,"AL","Physical Activity",20.8,20.8,18,24,1164,NA,NA,NA,"$75,000 or greater",NA,"(32.840571122, -86.631860762)","PA","PA1","Q047","Income","$75,000 or greater","INC","INC75PLUS",243
2011,"AL","Physical Activity",39.5,39.5,35.4,43.7,1368,NA,NA,NA,"Data not reported",NA,"(32.840571122, -86.631860762)","PA","PA1","Q047","Income","Data not reported","INC","INCNR",541
2011,"AL","Physical Activity",27.9,27.9,24.2,32,874,NA,NA,NA,"$35,000 - $49,999",NA,"(32.840571122, -86.631860762)","PA","PA1","Q047","Income","$35,000 - $49,999","INC","INC3550",244
2011,"AL","Physical Activity",25.6,25.6,21.7,29.9,805,NA,NA,NA,"$50,000 - $74,999",NA,"(32.840571122, -86.631860762)","PA","PA1","Q047","Income","$50,000 - $74,999","INC","INC5075",207
2011,"AL","Physical Activity",38.6,38.6,35,42.4,1386,NA,NA,NA,"$15,000 - $24,999",NA,"(32.840571122, -86.631860762)","PA","PA1","Q047","Income","$15,000 - $24,999","INC","INC1525",535
2011,"AL","Physical Activity",41.6,41.6,25.9,59.1,66,NA,NA,NA,NA,"American Indian/Alaska Native","(32.840571122, -86.631860762)","PA","PA1","Q047","Race/Ethnicity","American Indian/Alaska Native","RACE","RACENAA",28
2011,"AL","Physical Activity",34.8,34.8,31.8,38,1943,NA,NA,NA,NA,"Non-Hispanic Black","(32.840571122, -86.631860762)","PA","PA1","Q047","Race/Ethnicity","Non-Hispanic Black","RACE","RACEBLK",677
2011,"AL","Physical Activity",42.5,42.5,28.7,57.5,115,NA,NA,NA,NA,"Hispanic","(32.840571122, -86.631860762)","PA","PA1","Q047","Race/Ethnicity","Hispanic","RACE","RACEHIS",49
2011,"AL","Physical Activity",31.5,31.5,29.7,33.3,5135,NA,NA,NA,NA,"Non-Hispanic White","(32.840571122, -86.631860762)","PA","PA1","Q047","Race/Ethnicity","Non-Hispanic White","RACE","RACEWHT",1618
2011,"AL","Physical Activity",20.1,20.1,10.4,35.3,58,NA,NA,NA,NA,"2 or more races","(32.840571122, -86.631860762)","PA","PA1","Q047","Race/Ethnicity","2 or more races","RACE","RACE2PLUS",12
2011,"AR","Physical Activity",36.7,36.7,32.9,40.6,1070,"55 - 64",NA,NA,NA,NA,"(34.748650124, -92.274490743)","PA","PA1","Q047","Age (years)","55 - 64","AGEYR","AGEYR5564",393
2011,"AR","Physical Activity",29.1,29.1,23.6,35.3,439,"35 - 44",NA,NA,NA,NA,"(34.748650124, -92.274490743)","PA","PA1","Q047","Age (years)","35 - 44","AGEYR","AGEYR3544",128
2011,"AR","Physical Activity",19.9,19.9,15,26,289,"25 - 34",NA,NA,NA,NA,"(34.748650124, -92.274490743)","PA","PA1","Q047","Age (years)","25 - 34","AGEYR","AGEYR2534",58
2011,"AR","Physical Activity",40.9,40.9,38,43.7,1780,"65 or older",NA,NA,NA,NA,"(34.748650124, -92.274490743)","PA","PA1","Q047","Age (years)","65 or older","AGEYR","AGEYR65PLUS",729
2011,"AR","Physical Activity",37.1,37.1,32.7,41.8,739,"45 - 54",NA,NA,NA,NA,"(34.748650124, -92.274490743)","PA","PA1","Q047","Age (years)","45 - 54","AGEYR","AGEYR4554",275
2011,"AR","Physical Activity",16.8,16.8,11.1,24.7,132,"18 - 24",NA,NA,NA,NA,"(34.748650124, -92.274490743)","PA","PA1","Q047","Age (years)","18 - 24","AGEYR","AGEYR1824",23
2011,"AR","Physical Activity",41.3,41.3,35.5,47.5,595,NA,"Less than high school",NA,NA,NA,"(34.748650124, -92.274490743)","PA","PA1","Q047","Education","Less than high school","EDU","EDUHS",246
2011,"AR","Physical Activity",20.1,20.1,17,23.6,1181,NA,"College graduate",NA,NA,NA,"(34.748650124, -92.274490743)","PA","PA1","Q047","Education","College graduate","EDU","EDUCOGRAD",238
2011,"AR","Physical Activity",26.8,26.8,23.2,30.8,1052,NA,"Some college or technical school",NA,NA,NA,"(34.748650124, -92.274490743)","PA","PA1","Q047","Education","Some college or technical school","EDU","EDUCOTEC",282
2011,"AR","Physical Activity",34.6,34.6,31.2,38.2,1610,NA,"High school graduate",NA,NA,NA,"(34.748650124, -92.274490743)","PA","PA1","Q047","Education","High school graduate","EDU","EDUHSGRAD",558
2011,"AR","Physical Activity",34.1,34.1,31.5,36.9,2843,NA,NA,"Female",NA,NA,"(34.748650124, -92.274490743)","PA","PA1","Q047","Gender","Female","GEN","FEMALE",970
2011,"AR","Physical Activity",27.5,27.5,24.5,30.8,1606,NA,NA,"Male",NA,NA,"(34.748650124, -92.274490743)","PA","PA1","Q047","Gender","Male","GEN","MALE",442
2011,"AR","Physical Activity",27.4,27.4,22.5,32.9,533,NA,NA,NA,"$50,000 - $74,999",NA,"(34.748650124, -92.274490743)","PA","PA1","Q047","Income","$50,000 - $74,999","INC","INC5075",147
2011,"AR","Physical Activity",30,30,24.8,35.8,556,NA,NA,NA,"$35,000 - $49,999",NA,"(34.748650124, -92.274490743)","PA","PA1","Q047","Income","$35,000 - $49,999","INC","INC3550",167
2011,"AR","Physical Activity",39.1,39.1,33.8,44.7,840,NA,NA,NA,"$15,000 - $24,999",NA,"(34.748650124, -92.274490743)","PA","PA1","Q047","Income","$15,000 - $24,999","INC","INC1525",329
2011,"AR","Physical Activity",34.4,34.4,29.1,40.1,689,NA,NA,NA,"Less than $15,000",NA,"(34.748650124, -92.274490743)","PA","PA1","Q047","Income","Less than $15,000","INC","INCLESS15",238
2011,"AR","Physical Activity",34.6,34.6,28.9,40.7,612,NA,NA,NA,"Data not reported",NA,"(34.748650124, -92.274490743)","PA","PA1","Q047","Income","Data not reported","INC","INCNR",212
2011,"AR","Physical Activity",17.7,17.7,14.2,21.9,709,NA,NA,NA,"$75,000 or greater",NA,"(34.748650124, -92.274490743)","PA","PA1","Q047","Income","$75,000 or greater","INC","INC75PLUS",126
2011,"AR","Physical Activity",29.1,29.1,23.5,35.4,510,NA,NA,NA,"$25,000 - $34,999",NA,"(34.748650124, -92.274490743)","PA","PA1","Q047","Income","$25,000 - $34,999","INC","INC2535",149
2011,"AR","Physical Activity",39,39,20.9,60.8,51,NA,NA,NA,NA,"American Indian/Alaska Native","(34.748650124, -92.274490743)","PA","PA1","Q047","Race/Ethnicity","American Indian/Alaska Native","RACE","RACENAA",20
2011,"AR","Physical Activity",24,24,11.6,43.1,78,NA,NA,NA,NA,"2 or more races","(34.748650124, -92.274490743)","PA","PA1","Q047","Race/Ethnicity","2 or more races","RACE","RACE2PLUS",19
2011,"AR","Physical Activity",34.5,34.5,23.4,47.5,132,NA,NA,NA,NA,"Hispanic","(34.748650124, -92.274490743)","PA","PA1","Q047","Race/Ethnicity","Hispanic","RACE","RACEHIS",46
2011,"AR","Physical Activity",29.2,29.2,23.2,35.9,568,NA,NA,NA,NA,"Non-Hispanic Black","(34.748650124, -92.274490743)","PA","PA1","Q047","Race/Ethnicity","Non-Hispanic Black","RACE","RACEBLK",166
2011,"AR","Physical Activity",31,31,28.8,33.3,3508,NA,NA,NA,NA,"Non-Hispanic White","(34.748650124, -92.274490743)","PA","PA1","Q047","Race/Ethnicity","Non-Hispanic White","RACE","RACEWHT",1088
2011,"AZ","Physical Activity",22.2,22.2,18.3,26.7,983,"45 - 54",NA,NA,NA,NA,"(34.86597028, -111.763811277)","PA","PA1","Q047","Age (years)","45 - 54","AGEYR","AGEYR4554",219
2011,"AZ","Physical Activity",21.7,21.7,16.3,28.4,493,"25 - 34",NA,NA,NA,NA,"(34.86597028, -111.763811277)","PA","PA1","Q047","Age (years)","25 - 34","AGEYR","AGEYR2534",107
2011,"AZ","Physical Activity",26.1,26.1,23.4,29.1,2463,"65 or older",NA,NA,NA,NA,"(34.86597028, -111.763811277)","PA","PA1","Q047","Age (years)","65 or older","AGEYR","AGEYR65PLUS",643
2011,"AZ","Physical Activity",31,31,26.3,36.2,1358,"55 - 64",NA,NA,NA,NA,"(34.86597028, -111.763811277)","PA","PA1","Q047","Age (years)","55 - 64","AGEYR","AGEYR5564",421
2011,"AZ","Physical Activity",20.7,20.7,16.3,26,657,"35 - 44",NA,NA,NA,NA,"(34.86597028, -111.763811277)","PA","PA1","Q047","Age (years)","35 - 44","AGEYR","AGEYR3544",136
2011,"AZ","Physical Activity",23.9,23.9,16.6,33.1,243,"18 - 24",NA,NA,NA,NA,"(34.86597028, -111.763811277)","PA","PA1","Q047","Age (years)","18 - 24","AGEYR","AGEYR1824",59
2011,"AZ","Physical Activity",23.3,23.3,19.8,27.1,1881,NA,"Some college or technical school",NA,NA,NA,"(34.86597028, -111.763811277)","PA","PA1","Q047","Education","Some college or technical school","EDU","EDUCOTEC",439
2011,"AZ","Physical Activity",14.3,14.3,12,16.9,2066,NA,"College graduate",NA,NA,NA,"(34.86597028, -111.763811277)","PA","PA1","Q047","Education","College graduate","EDU","EDUCOGRAD",296
2011,"AZ","Physical Activity",26.9,26.9,23.1,31.2,1680,NA,"High school graduate",NA,NA,NA,"(34.86597028, -111.763811277)","PA","PA1","Q047","Education","High school graduate","EDU","EDUHSGRAD",452
2011,"AZ","Physical Activity",36.2,36.2,28.8,44.3,558,NA,"Less than high school",NA,NA,NA,"(34.86597028, -111.763811277)","PA","PA1","Q047","Education","Less than high school","EDU","EDUHS",202
2011,"AZ","Physical Activity",24.5,24.5,21.8,27.4,3775,NA,NA,"Female",NA,NA,"(34.86597028, -111.763811277)","PA","PA1","Q047","Gender","Female","GEN","FEMALE",925
2011,"AZ","Physical Activity",23.7,23.7,20.6,27,2422,NA,NA,"Male",NA,NA,"(34.86597028, -111.763811277)","PA","PA1","Q047","Gender","Male","GEN","MALE",575
2011,"AZ","Physical Activity",20,20,15.4,25.7,837,NA,NA,NA,"$35,000 - $49,999",NA,"(34.86597028, -111.763811277)","PA","PA1","Q047","Income","$35,000 - $49,999","INC","INC3550",168
2011,"AZ","Physical Activity",13.7,13.7,11,17,1166,NA,NA,NA,"$75,000 or greater",NA,"(34.86597028, -111.763811277)","PA","PA1","Q047","Income","$75,000 or greater","INC","INC75PLUS",160
2011,"AZ","Physical Activity",34.4,34.4,27.5,42,770,NA,NA,NA,"Less than $15,000",NA,"(34.86597028, -111.763811277)","PA","PA1","Q047","Income","Less than $15,000","INC","INCLESS15",265
2011,"AZ","Physical Activity",18.9,18.9,14.4,24.4,832,NA,NA,NA,"$50,000 - $74,999",NA,"(34.86597028, -111.763811277)","PA","PA1","Q047","Income","$50,000 - $74,999","INC","INC5075",158
2011,"AZ","Physical Activity",24.1,24.1,19.3,29.7,878,NA,NA,NA,"Data not reported",NA,"(34.86597028, -111.763811277)","PA","PA1","Q047","Income","Data not reported","INC","INCNR",212
2011,"AZ","Physical Activity",32.4,32.4,26.8,38.5,1067,NA,NA,NA,"$15,000 - $24,999",NA,"(34.86597028, -111.763811277)","PA","PA1","Q047","Income","$15,000 - $24,999","INC","INC1525",346
2011,"AZ","Physical Activity",30.6,30.6,23,39.4,647,NA,NA,NA,"$25,000 - $34,999",NA,"(34.86597028, -111.763811277)","PA","PA1","Q047","Income","$25,000 - $34,999","INC","INC2535",198
2011,"AZ","Physical Activity",15,15,6.3,31.5,81,NA,NA,NA,NA,"2 or more races","(34.86597028, -111.763811277)","PA","PA1","Q047","Race/Ethnicity","2 or more races","RACE","RACE2PLUS",13
2011,"AZ","Physical Activity",21.9,21.9,19.9,24.1,4504,NA,NA,NA,NA,"Non-Hispanic White","(34.86597028, -111.763811277)","PA","PA1","Q047","Race/Ethnicity","Non-Hispanic White","RACE","RACEWHT",987
2011,"AZ","Physical Activity",28.1,28.1,22.9,34,1040,NA,NA,NA,NA,"Hispanic","(34.86597028, -111.763811277)","PA","PA1","Q047","Race/Ethnicity","Hispanic","RACE","RACEHIS",293
2011,"AZ","Physical Activity",26.4,26.4,14.4,43.5,62,NA,NA,NA,NA,"Asian","(34.86597028, -111.763811277)","PA","PA1","Q047","Race/Ethnicity","Asian","RACE","RACEASN",17
2011,"AZ","Physical Activity",26.9,26.9,16.7,40.3,102,NA,NA,NA,NA,"Non-Hispanic Black","(34.86597028, -111.763811277)","PA","PA1","Q047","Race/Ethnicity","Non-Hispanic Black","RACE","RACEBLK",28
2011,"AZ","Physical Activity",25.5,25.5,16.9,36.5,269,NA,NA,NA,NA,"American Indian/Alaska Native","(34.86597028, -111.763811277)","PA","PA1","Q047","Race/Ethnicity","American Indian/Alaska Native","RACE","RACENAA",69
2011,"CA","Physical Activity",21.5,21.5,19.5,23.7,3495,"55 - 64",NA,NA,NA,NA,"(37.638640123, -120.999999538)","PA","PA1","Q047","Age (years)","55 - 64","AGEYR","AGEYR5564",752
2011,"CA","Physical Activity",18.7,18.7,16.6,21,1852,"25 - 34",NA,NA,NA,NA,"(37.638640123, -120.999999538)","PA","PA1","Q047","Age (years)","25 - 34","AGEYR","AGEYR2534",347
2011,"CA","Physical Activity",13.6,13.6,11.1,16.6,883,"18 - 24",NA,NA,NA,NA,"(37.638640123, -120.999999538)","PA","PA1","Q047","Age (years)","18 - 24","AGEYR","AGEYR1824",121
2011,"CA","Physical Activity",23.5,23.5,22,25.1,5183,"65 or older",NA,NA,NA,NA,"(37.638640123, -120.999999538)","PA","PA1","Q047","Age (years)","65 or older","AGEYR","AGEYR65PLUS",1219
2011,"CA","Physical Activity",19,19,17,21.1,2576,"35 - 44",NA,NA,NA,NA,"(37.638640123, -120.999999538)","PA","PA1","Q047","Age (years)","35 - 44","AGEYR","AGEYR3544",490
2011,"CA","Physical Activity",18.2,18.2,16.4,20.1,2938,"45 - 54",NA,NA,NA,NA,"(37.638640123, -120.999999538)","PA","PA1","Q047","Age (years)","45 - 54","AGEYR","AGEYR4554",535
2011,"CA","Physical Activity",15.6,15.6,14.4,16.9,5278,NA,"Some college or technical school",NA,NA,NA,"(37.638640123, -120.999999538)","PA","PA1","Q047","Education","Some college or technical school","EDU","EDUCOTEC",824
2011,"CA","Physical Activity",32,32,29.3,34.8,1893,NA,"Less than high school",NA,NA,NA,"(37.638640123, -120.999999538)","PA","PA1","Q047","Education","Less than high school","EDU","EDUHS",606
2011,"CA","Physical Activity",12.1,12.1,11,13.4,6610,NA,"College graduate",NA,NA,NA,"(37.638640123, -120.999999538)","PA","PA1","Q047","Education","College graduate","EDU","EDUCOGRAD",800
2011,"CA","Physical Activity",21.7,21.7,19.9,23.7,3093,NA,"High school graduate",NA,NA,NA,"(37.638640123, -120.999999538)","PA","PA1","Q047","Education","High school graduate","EDU","EDUHSGRAD",672
2011,"CA","Physical Activity",20.1,20.1,19,21.3,10026,NA,NA,"Female",NA,NA,"(37.638640123, -120.999999538)","PA","PA1","Q047","Gender","Female","GEN","FEMALE",2016
2011,"CA","Physical Activity",18.1,18.1,16.9,19.4,6901,NA,NA,"Male",NA,NA,"(37.638640123, -120.999999538)","PA","PA1","Q047","Gender","Male","GEN","MALE",1250
2011,"CA","Physical Activity",21.4,21.4,18.7,24.4,1586,NA,NA,NA,"$25,000 - $34,999",NA,"(37.638640123, -120.999999538)","PA","PA1","Q047","Income","$25,000 - $34,999","INC","INC2535",340
2011,"CA","Physical Activity",16.9,16.9,14.7,19.3,2229,NA,NA,NA,"$50,000 - $74,999",NA,"(37.638640123, -120.999999538)","PA","PA1","Q047","Income","$50,000 - $74,999","INC","INC5075",377
2011,"CA","Physical Activity",28.2,28.2,25.8,30.7,2574,NA,NA,NA,"Less than $15,000",NA,"(37.638640123, -120.999999538)","PA","PA1","Q047","Income","Less than $15,000","INC","INCLESS15",726
2011,"CA","Physical Activity",20,20,17.4,23,1882,NA,NA,NA,"$35,000 - $49,999",NA,"(37.638640123, -120.999999538)","PA","PA1","Q047","Income","$35,000 - $49,999","INC","INC3550",377
2011,"CA","Physical Activity",10.6,10.6,9.5,11.8,5362,NA,NA,NA,"$75,000 or greater",NA,"(37.638640123, -120.999999538)","PA","PA1","Q047","Income","$75,000 or greater","INC","INC75PLUS",569
2011,"CA","Physical Activity",25.3,25.3,22.6,28.1,2174,NA,NA,NA,"$15,000 - $24,999",NA,"(37.638640123, -120.999999538)","PA","PA1","Q047","Income","$15,000 - $24,999","INC","INC1525",551
2011,"CA","Physical Activity",19.8,19.8,16.8,23.2,1120,NA,NA,NA,"Data not reported",NA,"(37.638640123, -120.999999538)","PA","PA1","Q047","Income","Data not reported","INC","INCNR",222
2011,"CA","Physical Activity",18.2,18.2,15.4,21.3,862,NA,NA,NA,NA,"Asian","(37.638640123, -120.999999538)","PA","PA1","Q047","Race/Ethnicity","Asian","RACE","RACEASN",157
2011,"CA","Physical Activity",14.6,14.6,13.7,15.5,10887,NA,NA,NA,NA,"Non-Hispanic White","(37.638640123, -120.999999538)","PA","PA1","Q047","Race/Ethnicity","Non-Hispanic White","RACE","RACEWHT",1590
2011,"CA","Physical Activity",22.9,22.9,19,27.3,637,NA,NA,NA,NA,"Non-Hispanic Black","(37.638640123, -120.999999538)","PA","PA1","Q047","Race/Ethnicity","Non-Hispanic Black","RACE","RACEBLK",146
2011,"CA","Physical Activity",25.6,25.6,23.8,27.5,3934,NA,NA,NA,NA,"Hispanic","(37.638640123, -120.999999538)","PA","PA1","Q047","Race/Ethnicity","Hispanic","RACE","RACEHIS",1008
2011,"CA","Physical Activity",10.8,10.8,7.5,15.3,317,NA,NA,NA,NA,"2 or more races","(37.638640123, -120.999999538)","PA","PA1","Q047","Race/Ethnicity","2 or more races","RACE","RACE2PLUS",35
2011,"CA","Physical Activity",21.3,21.3,13.1,32.6,146,NA,NA,NA,NA,"American Indian/Alaska Native","(37.638640123, -120.999999538)","PA","PA1","Q047","Race/Ethnicity","American Indian/Alaska Native","RACE","RACENAA",32
2011,"CA","Physical Activity",19.1,19.1,11.8,29.5,86,NA,NA,NA,NA,"Hawaiian/Pacific Islander","(37.638640123, -120.999999538)","PA","PA1","Q047","Race/Ethnicity","Hawaiian/Pacific Islander","RACE","RACEHPI",17
2011,"CO","Physical Activity",17.7,17.7,15.6,20,2457,"45 - 54",NA,NA,NA,NA,"(38.843840757, -106.133610921)","PA","PA1","Q047","Age (years)","45 - 54","AGEYR","AGEYR4554",435
2011,"CO","Physical Activity",14.2,14.2,11.7,17.1,1046,"25 - 34",NA,NA,NA,NA,"(38.843840757, -106.133610921)","PA","PA1","Q047","Age (years)","25 - 34","AGEYR","AGEYR2534",149
2011,"CO","Physical Activity",22.4,22.4,20.7,24.2,3856,"65 or older",NA,NA,NA,NA,"(38.843840757, -106.133610921)","PA","PA1","Q047","Age (years)","65 or older","AGEYR","AGEYR65PLUS",864
2011,"CO","Physical Activity",11.4,11.4,8.5,15,488,"18 - 24",NA,NA,NA,NA,"(38.843840757, -106.133610921)","PA","PA1","Q047","Age (years)","18 - 24","AGEYR","AGEYR1824",56
2011,"CO","Physical Activity",15,15,12.9,17.3,1723,"35 - 44",NA,NA,NA,NA,"(38.843840757, -106.133610921)","PA","PA1","Q047","Age (years)","35 - 44","AGEYR","AGEYR3544",259
2011,"CO","Physical Activity",18,18,16.3,19.9,3230,"55 - 64",NA,NA,NA,NA,"(38.843840757, -106.133610921)","PA","PA1","Q047","Age (years)","55 - 64","AGEYR","AGEYR5564",582
2011,"CO","Physical Activity",22.6,22.6,20.5,24.7,3106,NA,"High school graduate",NA,NA,NA,"(38.843840757, -106.133610921)","PA","PA1","Q047","Education","High school graduate","EDU","EDUHSGRAD",702
